exams,probability,instance_seed,solver_seed,solver,slots,time,max_time
20,0.6,0,2,code2,7,0.244905,60
20,0.6,0,3,code1,7,0.057780,60
20,0.6,0,3,code2,7,0.058823,60
20,0.6,1,0,code1,7,0.451137,60
20,0.6,1,0,code2,7,0.456442,60
20,0.6,1,1,code1,7,0.450964,60
20,0.6,1,1,code2,7,0.464277,60
20,0.6,1,2,code1,7,0.501394,60
20,0.6,1,2,code2,7,0.500752,60
20,0.6,1,3,code1,7,0.270611,60
20,0.6,1,3,code2,7,0.271098,60
20,0.6,2,0,code1,7,0.110224,60
20,0.6,2,0,code2,7,0.114880,60
20,0.6,2,1,code1,7,0.112305,60
20,0.6,2,1,code2,7,0.115835,60
20,0.6,2,2,code1,7,0.097384,60
20,0.6,2,2,code2,7,0.098392,60
20,0.6,2,3,code1,7,0.033194,60
20,0.6,2,3,code2,7,0.032910,60
20,0.6,3,0,code1,7,0.339185,60
20,0.6,3,0,code2,7,0.347134,60
20,0.6,3,1,code1,7,0.336763,60
20,0.6,3,1,code2,7,0.338273,60
20,0.6,3,2,code1,7,0.085367,60
20,0.6,3,2,code2,7,0.088368,60
20,0.6,3,3,code1,7,0.079355,60
20,0.6,3,3,code2,7,0.079715,60
20,0.8,0,0,code1,9,6.999096,60
20,0.8,0,0,code2,9,7.179632,60
20,0.8,0,1,code1,9,6.888006,60
20,0.8,0,1,code2,9,7.157493,60
20,0.8,0,2,code1,9,2.004502,60
20,0.8,0,2,code2,9,2.098837,60
20,0.8,0,3,code1,9,1.992446,60
20,0.8,0,3,code2,9,2.155454,60
20,0.8,1,0,code1,10,7.955016,60
20,0.8,1,0,code2,10,8.256921,60
20,0.8,1,1,code1,10,7.867714,60
20,0.8,1,1,code2,10,8.397368,60
20,0.8,1,2,code1,10,22.095729,60
20,0.8,1,2,code2,10,22.780594,60
20,0.8,1,3,code1,10,3.992559,60
20,0.8,1,3,code2,10,4.003912,60
20,0.8,2,0,code1,9,0.580286,60
20,0.8,2,0,code2,9,0.608255,60
20,0.8,2,1,code1,9,0.579955,60
20,0.8,2,1,code2,9,0.610236,60
20,0.8,2,2,code1,9,0.867920,60
20,0.8,2,2,code2,9,0.893136,60
20,0.8,2,3,code1,9,0.308499,60
20,0.8,2,3,code2,9,0.320023,60
20,0.8,3,0,code1,9,1.734855,60
20,0.8,3,0,code2,9,1.755399,60
20,0.8,3,1,code1,9,1.725391,60
20,0.8,3,1,code2,9,1.774858,60
20,0.8,3,2,code1,9,1.209806,60
20,0.8,3,2,code2,9,1.235277,60
20,0.8,3,3,code1,9,0.168521,60
20,0.8,3,3,code2,9,0.171973,60
25,0.2,0,0,code1,4,0.000705,60
25,0.2,0,0,code2,4,0.000534,60
25,0.2,0,1,code1,4,0.000705,60
25,0.2,0,1,code2,4,0.000671,60
25,0.2,0,2,code1,4,0.031402,60
25,0.2,0,2,code2,4,0.029708,60
25,0.2,0,3,code1,4,0.073238,60
25,0.2,0,3,code2,4,0.074782,60
25,0.2,1,0,code1,4,0.007669,60
25,0.2,1,0,code2,4,0.007513,60
25,0.2,1,1,code1,4,0.007745,60
25,0.2,1,1,code2,4,0.007441,60
25,0.2,1,2,code1,4,0.004977,60
25,0.2,1,2,code2,4,0.006264,60
25,0.2,1,3,code1,4,0.001791,60
25,0.2,1,3,code2,4,0.001668,60
25,0.2,2,0,code1,4,0.009592,60
25,0.2,2,0,code2,4,0.010874,60
25,0.2,2,1,code1,4,0.006869,60
25,0.2,2,1,code2,4,0.006941,60
25,0.2,2,2,code1,4,0.110218,60
25,0.2,2,2,code2,4,0.109859,60
25,0.2,2,3,code1,4,0.001335,60
25,0.2,2,3,code2,4,0.001194,60
25,0.2,3,0,code1,3,0.000915,60
25,0.2,3,0,code2,3,0.000872,60
25,0.2,3,1,code1,3,0.001130,60
25,0.2,3,1,code2,3,0.000874,60
25,0.2,3,2,code1,3,0.001061,60
25,0.2,3,2,code2,3,0.001028,60
25,0.2,3,3,code1,3,0.002390,60
25,0.2,3,3,code2,3,0.002065,60
25,0.4,0,0,code1,5,0.038350,60
25,0.4,0,0,code2,5,0.036363,60
25,0.4,0,1,code1,5,0.035237,60
25,0.4,0,1,code2,5,0.035680,60
25,0.4,0,2,code1,5,0.020188,60
25,0.4,0,2,code2,5,0.019987,60
25,0.4,0,3,code1,5,0.010585,60
25,0.4,0,3,code2,5,0.010322,60
25,0.4,1,0,code1,5,0.002154,60
25,0.4,1,0,code2,5,0.001997,60
25,0.4,1,1,code1,5,0.002144,60
25,0.4,1,1,code2,5,0.002248,60
25,0.4,1,2,code1,5,0.298525,60
25,0.4,1,2,code2,5,0.300710,60
25,0.4,1,3,code1,5,0.056053,60
25,0.4,1,3,code2,5,0.055480,60
25,0.4,2,0,code1,5,0.131647,60
25,0.4,2,0,code2,5,0.131232,60
25,0.4,2,1,code1,5,0.131921,60
25,0.4,2,1,code2,5,0.130626,60
25,0.4,2,2,code1,5,0.000676,60
25,0.4,2,2,code2,5,0.000491,60
25,0.4,2,3,code1,5,0.020495,60
25,0.4,2,3,code2,5,0.006268,60
25,0.4,3,0,code1,5,0.002703,60
25,0.4,3,0,code2,5,0.003550,60
25,0.4,3,1,code1,5,0.003763,60
25,0.4,3,1,code2,5,0.003897,60
25,0.4,3,2,code1,5,0.097892,60
25,0.4,3,2,code2,5,0.096095,60
25,0.4,3,3,code1,5,0.001641,60
25,0.4,3,3,code2,5,0.001571,60
25,0.6,0,0,code1,8,6.671645,60
25,0.6,0,0,code2,8,6.593221,60
25,0.6,0,1,code1,8,6.696075,60
25,0.6,0,1,code2,8,6.731822,60
25,0.6,0,2,code1,8,9.759017,60
25,0.6,0,2,code2,8,9.693474,60
25,0.6,0,3,code1,8,29.092344,60
25,0.6,0,3,code2,8,30.092378,60
25,0.6,1,0,code1,8,1.566107,60
25,0.6,1,0,code2,8,1.614169,60
25,0.6,1,1,code1,8,1.563693,60
25,0.6,1,1,code2,8,1.605840,60
25,0.6,1,2,code1,8,4.289803,60
25,0.6,1,2,code2,8,4.459728,60
25,0.6,1,3,code1,8,12.144100,60
25,0.6,1,3,code2,8,12.126197,60
25,0.6,2,0,code1,8,7.166730,60
25,0.6,2,0,code2,8,7.265127,60
25,0.6,2,1,code1,8,7.165388,60
25,0.6,2,1,code2,8,7.150244,60
25,0.6,2,2,code1,8,1.155020,60
25,0.6,2,2,code2,8,1.166847,60
25,0.6,2,3,code1,8,2.283196,60
25,0.6,2,3,code2,8,2.353574,60
25,0.6,3,0,code1,7,4.512997,60
25,0.6,3,0,code2,7,4.428312,60
25,0.6,3,1,code1,7,4.519744,60
25,0.6,3,1,code2,7,4.459364,60
25,0.6,3,2,code1,7,0.226400,60
25,0.6,3,2,code2,7,0.234522,60
25,0.6,3,3,code1,7,0.128025,60
25,0.6,3,3,code2,7,0.129396,60
25,0.8,0,0,code1,-1,60.000001,60
25,0.8,0,0,code2,-1,60.000001,60
25,0.8,0,1,code1,-1,60.000001,60
25,0.8,0,1,code2,-1,60.000001,60
25,0.8,0,2,code1,-1,60.000001,60
25,0.8,0,2,code2,-1,60.000001,60
25,0.8,0,3,code1,-1,60.000001,60
25,0.8,0,3,code2,-1,60.000001,60
25,0.8,1,0,code1,-1,60.000001,60
25,0.8,1,0,code2,-1,60.000001,60
25,0.8,1,1,code1,-1,60.000001,60
25,0.8,1,1,code2,-1,60.000001,60
25,0.8,1,2,code1,-1,60.000001,60
25,0.8,1,2,code2,-1,60.000001,60
25,0.8,1,3,code1,-1,60.000001,60
25,0.8,1,3,code2,-1,60.000001,60
25,0.8,2,0,code1,-1,60.000001,60
25,0.8,2,0,code2,-1,60.000001,60
25,0.8,2,1,code1,-1,60.000001,60
25,0.8,2,1,code2,-1,60.000001,60
25,0.8,2,2,code1,-1,60.000001,60
25,0.8,2,2,code2,-1,60.000001,60
25,0.8,2,3,code1,-1,60.000001,60
25,0.8,2,3,code2,-1,60.000001,60
25,0.8,3,0,code1,-1,60.000001,60
25,0.8,3,0,code2,-1,60.000001,60
25,0.8,3,1,code1,-1,60.000001,60
25,0.8,3,1,code2,-1,60.000001,60
25,0.8,3,2,code1,-1,60.000001,60
25,0.8,3,2,code2,-1,60.000001,60
25,0.8,3,3,code1,-1,60.000001,60
25,0.8,3,3,code2,-1,60.000001,60
2,0.2,0,0,code1,1,0.000002,60
2,0.2,0,0,code2,1,0.000002,60
2,0.2,0,1,code1,1,0.000003,60
2,0.2,0,1,code2,1,0.000003,60
2,0.2,0,2,code1,1,0.000002,60
2,0.2,0,2,code2,1,0.000004,60
2,0.2,0,3,code1,1,0.000004,60
2,0.2,0,3,code2,1,0.000004,60
2,0.2,1,0,code1,2,0.000001,60
2,0.2,1,0,code2,2,0.000005,60
2,0.2,1,1,code1,2,0.000002,60
2,0.2,1,1,code2,2,0.000005,60
2,0.2,1,2,code1,2,0.000004,60
2,0.2,1,2,code2,2,0.000005,60
2,0.2,1,3,code1,2,0.000001,60
2,0.2,1,3,code2,2,0.000006,60
2,0.2,2,0,code1,1,0.000005,60
2,0.2,2,0,code2,1,0.000005,60
2,0.2,2,1,code1,1,0.000005,60
2,0.2,2,1,code2,1,0.000005,60
2,0.2,2,2,code1,1,0.000006,60
2,0.2,2,2,code2,1,0.000005,60
2,0.2,2,3,code1,1,0.000006,60
2,0.2,2,3,code2,1,0.000004,60
2,0.2,3,0,code1,1,0.000005,60
2,0.2,3,0,code2,1,0.000005,60
2,0.2,3,1,code1,1,0.000004,60
2,0.2,3,1,code2,1,0.000005,60
2,0.2,3,2,code1,1,0.000005,60
2,0.2,3,2,code2,1,0.000006,60
2,0.2,3,3,code1,1,0.000005,60
2,0.2,3,3,code2,1,0.000005,60
2,0.4,0,0,code1,1,0.000009,60
2,0.4,0,0,code2,1,0.000005,60
2,0.4,0,1,code1,1,0.000005,60
2,0.4,0,1,code2,1,0.000005,60
2,0.4,0,2,code1,1,0.000005,60
2,0.4,0,2,code2,1,0.000006,60
2,0.4,0,3,code1,1,0.000005,60
2,0.4,0,3,code2,1,0.000009,60
2,0.4,1,0,code1,2,0.000002,60
2,0.4,1,0,code2,2,0.000006,60
2,0.4,1,1,code1,2,0.000002,60
2,0.4,1,1,code2,2,0.000007,60
2,0.4,1,2,code1,2,0.000001,60
2,0.4,1,2,code2,2,0.000006,60
2,0.4,1,3,code1,2,0.000001,60
2,0.4,1,3,code2,2,0.000005,60
2,0.4,2,0,code1,1,0.000004,60
2,0.4,2,0,code2,1,0.000004,60
2,0.4,2,1,code1,1,0.000005,60
2,0.4,2,1,code2,1,0.000006,60
2,0.4,2,2,code1,1,0.000005,60
2,0.4,2,2,code2,1,0.000008,60
2,0.4,2,3,code1,1,0.000005,60
2,0.4,2,3,code2,1,0.000005,60
2,0.4,3,0,code1,2,0.000002,60
2,0.4,3,0,code2,2,0.000009,60
2,0.4,3,1,code1,2,0.000002,60
2,0.4,3,1,code2,2,0.000006,60
2,0.4,3,2,code1,2,0.000001,60
2,0.4,3,2,code2,2,0.000005,60
2,0.4,3,3,code1,2,0.000001,60
2,0.4,3,3,code2,2,0.000005,60
2,0.6,0,0,code1,1,0.000005,60
2,0.6,0,0,code2,1,0.000005,60
2,0.6,0,1,code1,1,0.000005,60
2,0.6,0,1,code2,1,0.000006,60
2,0.6,0,2,code1,1,0.000005,60
2,0.6,0,2,code2,1,0.000005,60
2,0.6,0,3,code1,1,0.000006,60
2,0.6,0,3,code2,1,0.000006,60
2,0.6,1,0,code1,2,0.000001,60
2,0.6,1,0,code2,2,0.000006,60
